"u","area_q025","area_q50","area_q975","area_MAP","u_from","u_to","land_use_change","time"
"other_to_rough",0.786439302673049,27.8784685871111,89.9276443659513,55.5375068743228,"other","rough","other_to_rough",1957
"other_to_urban",0.788600750081266,21.1938341141315,77.1444404165121,6.04934288297064,"other","urban","other_to_urban",1957
"other_to_woods",2.04642489303128,33.5598371113935,134.827239932287,19.2644806562636,"other","woods","other_to_woods",1957
"rough_to_crops",0.56768120032018,23.3313082205558,98.4157792133959,1.60976239283688,"rough","crops","rough_to_crops",1957
"rough_to_grass",100.172307121965,217.110571991543,353.481222831276,126.051905700466,"rough","grass","rough_to_grass",1957
"rough_to_other",1.81204144723358,30.2455921094058,117.448661569752,39.9395179630749,"rough","other","rough_to_other",1957
"rough_to_urban",2.20158028652523,40.4595261613394,130.25600447615,34.727261223825,"rough","urban","rough_to_urban",1957
"rough_to_woods",10.3569125884623,90.2759422981917,195.028457842794,157.500416915289,"rough","woods","rough_to_woods",1957
"urban_to_crops",0.704799386350877,22.5869561761213,74.535146154415,6.33762440380104,"urban","crops","urban_to_crops",1957
"urban_to_grass",0.680025521084225,39.2192238672246,114.717178636419,44.3804826785863,"urban","grass","urban_to_grass",1957
"urban_to_other",1.47218225273036,23.7995942660295,79.8963643047683,11.6777777817662,"urban","other","urban_to_other",1957
"urban_to_rough",1.46513413812142,29.9614137823805,98.5484368283531,14.7459973744304,"urban","rough","urban_to_rough",1957
"urban_to_woods",2.55227648625372,30.2910340862983,98.630183554602,52.3310481403202,"urban","woods","urban_to_woods",1957
"woods_to_crops",0.770415607769001,14.1353746935703,57.8970752544981,2.35207765382646,"woods","crops","woods_to_crops",1957
"woods_to_grass",0.848400629530152,18.0258798275982,75.2463743921272,6.31134898346269,"woods","grass","woods_to_grass",1957
"woods_to_other",0.597971147062599,13.6680846705129,62.3012163158353,9.23955802680544,"woods","other","woods_to_other",1957
"woods_to_rough",0.938138769271471,20.2189265060385,67.7071940493638,5.91580837568479,"woods","rough","woods_to_rough",1957
"woods_to_urban",0.557715641906459,18.5685548935974,64.6995202213031,14.6596755062937,"woods","urban","woods_to_urban",1957
"crops_to_grass",289.083595677272,439.280218599193,553.452897387135,536.296156275283,"crops","grass","crops_to_grass",1958
"crops_to_other",1.92295900526469,36.3281078846244,133.352339492636,48.2337528294311,"crops","other","crops_to_other",1958
"crops_to_rough",3.66426362137126,80.0861240989878,176.182615338005,25.0367311886512,"crops","rough","crops_to_rough",1958
"crops_to_urban",7.05444914811134,81.9818996052857,183.610384760833,90.6310620804137,"crops","urban","crops_to_urban",1958
"crops_to_woods",10.0808479776168,80.5284884830711,221.999484398402,27.4766241309457,"crops","woods","crops_to_woods",1958
"grass_to_crops",414.236531539033,529.16266427975,645.016785437243,519.404154442277,"grass","crops","grass_to_crops",1958
"grass_to_other",1.53388410788381,33.0259883846989,111.210062193237,55.5283070516659,"grass","other","grass_to_other",1958
"grass_to_rough",16.6712564937647,141.122015879261,265.749760653832,178.094228685899,"grass","rough","grass_to_rough",1958
"grass_to_urban",9.87408808521556,101.416595404742,219.535195445365,80.8700861976645,"grass","urban","grass_to_urban",1958
"grass_to_woods",34.2769228285564,146.822771849065,264.997873772723,166.56404233739,"grass","woods","grass_to_woods",1958
"other_to_crops",0.576066027350316,15.8663414762867,72.621975351032,3.13821261616673,"other","crops","other_to_crops",1958
"other_to_grass",1.13153048307146,30.8330736719076,113.792505523583,8.03909489642769,"other","grass","other_to_grass",1958
"other_to_rough",0.661191564305197,26.1716903014603,99.0502086140332,33.2791192428998,"other","rough","other_to_rough",1958
"other_to_urban",0.997750861761607,30.5503583230055,113.553574097819,17.9532135905713,"other","urban","other_to_urban",1958
"other_to_woods",1.67668978768544,35.3435952054922,126.248051027067,30.468641385249,"other","woods","other_to_woods",1958
"rough_to_crops",1.14231275987565,24.6786865873489,90.8494810853981,6.01205096943874,"rough","crops","rough_to_crops",1958
"rough_to_grass",122.936766674265,226.202434585639,329.095890753189,225.894492426211,"rough","grass","rough_to_grass",1958
"rough_to_other",1.43502573373436,29.170221006869,95.2986637987506,33.4552356040142,"rough","other","rough_to_other",1958
"rough_to_urban",2.7926708774847,40.8517356533937,146.621866172669,2.65158923755921,"rough","urban","rough_to_urban",1958
"rough_to_woods",7.96902040915034,88.516432172305,222.137892813137,151.364917263239,"rough","woods","rough_to_woods",1958
"urban_to_crops",0.848987169213454,21.5362173491486,88.0152330118877,32.9787368023025,"urban","crops","urban_to_crops",1958
"urban_to_grass",1.73254198022395,45.3629981408994,134.017560083061,19.5218047861159,"urban","grass","urban_to_grass",1958
"urban_to_other",0.52901978589254,16.5310711641649,78.579177453095,17.3730757392291,"urban","other","urban_to_other",1958
"urban_to_rough",0.992667454771405,26.1052643355077,112.700142867242,18.3301939527712,"urban","rough","urban_to_rough",1958
"urban_to_woods",0.973731608948788,21.7975137087041,103.904033406316,41.0002289593395,"urban","woods","urban_to_woods",1958
"woods_to_crops",0.505562690168407,14.942509788101,56.1571655276962,15.5761966369707,"woods","crops","woods_to_crops",1958
"woods_to_grass",0.997267884915957,19.2137482237223,82.8843214719296,3.21760866008918,"woods","grass","woods_to_grass",1958
"woods_to_other",0.514026168114911,15.1014959906611,63.4692046865636,8.34059684950061,"woods","other","woods_to_other",1958
"woods_to_rough",0.511869334665363,18.179859499194,83.8073365298595,11.6527780206568,"woods","rough","woods_to_rough",1958
"woods_to_urban",0.709376631654768,15.9923979416656,78.0791231777927,36.2019168462887,"woods","urban","woods_to_urban",1958
"crops_to_grass",285.780936591048,423.137586597112,568.075512070337,495.513358589274,"crops","grass","crops_to_grass",1959
"crops_to_other",1.95313794070315,44.0500142733239,144.105962824616,17.1279841979286,"crops","other","crops_to_other",1959
"crops_to_rough",3.32225217079541,69.4273428179439,167.190307182186,108.173668175036,"crops","rough","crops_to_rough",1959
"crops_to_urban",9.77395273641744,89.0970260125563,211.538805366407,28.0237591449295,"crops","urban","crops_to_urban",1959
